Id,EnemyId,CombatIndex,MaxHealth,ContactDamage,AttackIntervalSeconds
M_SLIME_C1,M_SLIME,1,5,1,1.3
M_SLIME_C2,M_SLIME,2,5,1,1.3
M_SLIME_C3,M_SLIME,3,10,1,1.3
M_SLIME_C4,M_SLIME,4,12,2,1.3
M_SLIME_C5,M_SLIME,5,16,2,1.3
M_SLIME_C6,M_SLIME,6,24,3,1.3
M_SLIME_C7,M_SLIME,7,30,3,1.3
M_SLIME_C8,M_SLIME,8,40,3,1.3
M_RABBIT_C1,M_RABBIT,1,2,1,2
M_RABBIT_C2,M_RABBIT,2,2,1,2
M_RABBIT_C3,M_RABBIT,3,2,1,2
M_RABBIT_C4,M_RABBIT,4,2,1,2
M_RABBIT_C5,M_RABBIT,5,4,2,2
M_RABBIT_C6,M_RABBIT,6,6,2,2
M_RABBIT_C7,M_RABBIT,7,10,2,2
M_RABBIT_C8,M_RABBIT,8,12,2,2
M_FOX_C1,M_FOX,1,6,1,4
M_FOX_C2,M_FOX,2,20,1,4
M_FOX_C3,M_FOX,3,20,4,4
M_FOX_C4,M_FOX,4,30,5,4
M_FOX_C5,M_FOX,5,40,6,4
M_FOX_C6,M_FOX,6,80,6,4
M_FOX_C7,M_FOX,7,140,7,4
M_FOX_C8,M_FOX,8,200,7,4
