Id,EncounterId,WaveIndex,TriggerSeconds,MeleeCount,RangedCount,EliteCount,BossEnemyId,Enabled,SourceSheet,SourceRow,Notes
Encounter.1.Wave.1,Encounter.1,1,0,9,2,0,,true,怪物.xlsx,1,第一关整关不刷精英
Encounter.1.Wave.2,Encounter.1,2,10,9,2,0,,true,怪物.xlsx,1,第一关整关不刷精英
Encounter.1.Wave.3,Encounter.1,3,20,10,2,0,,true,怪物.xlsx,1,第一关整关不刷精英
Encounter.2.Wave.1,Encounter.2,1,0,10,2,0,,true,怪物.xlsx,2,第一关整关不刷精英
Encounter.2.Wave.2,Encounter.2,2,10,10,3,0,,true,怪物.xlsx,2,第一关整关不刷精英
Encounter.2.Wave.3,Encounter.2,3,20,8,3,0,,true,怪物.xlsx,2,第一关整关不刷精英
Encounter.3.Wave.1,Encounter.3,1,0,15,3,1,,true,怪物.xlsx,3,企微《怪物》投放成长表
Encounter.3.Wave.2,Encounter.3,2,10,16,3,1,,true,怪物.xlsx,3,企微《怪物》投放成长表
Encounter.3.Wave.3,Encounter.3,3,20,17,3,1,,true,怪物.xlsx,3,企微《怪物》投放成长表
Encounter.4.Wave.1,Encounter.4,1,0,19,5,2,,true,怪物.xlsx,4,企微《怪物》投放成长表
Encounter.4.Wave.2,Encounter.4,2,10,16,5,2,,true,怪物.xlsx,4,企微《怪物》投放成长表
Encounter.4.Wave.3,Encounter.4,3,20,20,7,1,,true,怪物.xlsx,4,企微《怪物》投放成长表
Encounter.5.Wave.1,Encounter.5,1,0,24,8,2,,true,怪物.xlsx,5,企微《怪物》投放成长表
Encounter.5.Wave.2,Encounter.5,2,10,21,9,2,,true,怪物.xlsx,5,企微《怪物》投放成长表
Encounter.5.Wave.3,Encounter.5,3,20,27,10,2,,true,怪物.xlsx,5,企微《怪物》投放成长表
Encounter.6.Wave.1,Encounter.6,1,0,24,9,3,,true,怪物.xlsx,6,企微《怪物》投放成长表
Encounter.6.Wave.2,Encounter.6,2,10,23,10,3,,true,怪物.xlsx,6,企微《怪物》投放成长表
Encounter.6.Wave.3,Encounter.6,3,20,28,10,3,,true,怪物.xlsx,6,企微《怪物》投放成长表
Encounter.7.Wave.1,Encounter.7,1,0,30,12,4,,true,怪物.xlsx,7,企微《怪物》投放成长表
Encounter.7.Wave.2,Encounter.7,2,10,28,12,3,,true,怪物.xlsx,7,企微《怪物》投放成长表
Encounter.7.Wave.3,Encounter.7,3,20,33,13,4,,true,怪物.xlsx,7,企微《怪物》投放成长表
Encounter.8.Wave.1,Encounter.8,1,0,28,7,2,M_SHEEP,true,怪物.xlsx,8,Boss在0秒刷新；16近战/8远程/5精英援军
Encounter.8.Wave.2,Encounter.8,2,10,21,7,3,,true,怪物.xlsx,8,Boss关增援波
Encounter.8.Wave.3,Encounter.8,3,20,26,9,4,,true,怪物.xlsx,8,Boss关增援波
