Id,CardId,Order,Trigger,EffectKind,Target,ValueOp,Value,BehaviorId,ParamName,ParamValue
G_1_01_MOVE,G_1_01,1,OnApply,StatModifier,MovementSpeed,Add,0.10,Card.StatModifier,None,0
G_1_01_ATTACK,G_1_01,2,OnApply,StatModifier,AttackSpeed,Add,0.10,Card.StatModifier,None,0
G_1_02_MAX,G_1_02,1,OnApply,StatModifier,HpMax,Add,15,Card.StatModifier,None,0
G_1_02_HEAL,G_1_02,2,OnApply,InstantRecovery,HpPoint,Add,15,Card.InstantRecovery,None,0
G_1_03_BLOCK,G_1_03,1,OnApply,StatModifier,Block,Add,1,Card.StatModifier,None,0
G_1_04_PATK,G_1_04,1,OnApply,StatModifier,PhysicalAttack,Add,2,Card.StatModifier,None,0
G_1_05_EATK,G_1_05,1,OnApply,StatModifier,ElementalAttack,Add,2,Card.StatModifier,None,0
G_1_08_ECHO,G_1_08,1,OnApply,StatModifier,EchoEfficiency,Add,0.10,Card.StatModifier,None,0
FORGE_LIGHT_HP,FORGE_LIGHT,1,OnApply,StatModifier,HpMax,Add,2,Card.StatModifier,None,0
FORGE_LIGHT_PATK,FORGE_LIGHT,2,OnApply,StatModifier,PhysicalAttack,Add,1,Card.StatModifier,None,0
FORGE_LIGHT_EATK,FORGE_LIGHT,3,OnApply,StatModifier,ElementalAttack,Add,1,Card.StatModifier,None,0
FORGE_MEDIUM_HP,FORGE_MEDIUM,1,OnApply,StatModifier,HpMax,Add,-2,Card.StatModifier,None,0
FORGE_MEDIUM_PATK,FORGE_MEDIUM,2,OnApply,StatModifier,PhysicalAttack,Add,2,Card.StatModifier,None,0
FORGE_MEDIUM_EATK,FORGE_MEDIUM,3,OnApply,StatModifier,ElementalAttack,Add,2,Card.StatModifier,None,0
FORGE_EXTREME_HP,FORGE_EXTREME,1,OnApply,StatModifier,HpMax,Add,-6,Card.StatModifier,None,0
FORGE_EXTREME_PATK,FORGE_EXTREME,2,OnApply,StatModifier,PhysicalAttack,Add,2,Card.StatModifier,None,0
FORGE_EXTREME_EATK,FORGE_EXTREME,3,OnApply,StatModifier,ElementalAttack,Add,2,Card.StatModifier,None,0
