Id,AttackPatternId,StepIndex,DurationSeconds,PhysicalCoefficient,ElementalCoefficient,RangeCm,ArcDegrees,ProjectileCount,ConcentrationDegrees,ExplosionRadiusCm,MovementCm,Invulnerable,BehaviorId,FormulaId,ConditionId,Enabled,SourceSheet,SourceRow,DisabledReason
AS_DAGGER_1,Pattern.DaggerCombo,1,0.5,0.60,0.60,150,120,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,2,
AS_DAGGER_2,Pattern.DaggerCombo,2,0.5,0.60,0.60,150,120,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,2,
AS_DAGGER_3,Pattern.DaggerCombo,3,0.7,1.20,0.60,150,360,0,0,0,200,true,Weapon.DashStrike,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,2,
AS_DAGGER_DASH_ONLY,Pattern.DaggerDashOnly,1,0.7,1.20,0.60,150,360,0,0,0,200,true,Weapon.DashStrike,Weapon.PhysicalOrElementalCoefficient,None,true,武器插槽C,8,
AS_LONGSWORD_1,Pattern.LongSwordCombo,1,0.8,1.00,1.00,250,180,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,3,
AS_LONGSWORD_2,Pattern.LongSwordCombo,2,0.8,1.00,1.00,250,180,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,3,
AS_SCYTHE_1,Pattern.ScytheSweep,1,0.5,0.60,0.60,150,360,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,4,
AS_WHIP_1,Pattern.WhipCombo,1,0.8,0.60,0.60,400,180,0,0,0,50,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,5,
AS_WHIP_2,Pattern.WhipCombo,2,0.8,1.20,1.20,400,30,0,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,5,
AS_BOW_1,Pattern.BowShot,1,1.0,1.00,1.00,1000,0,1,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,6,
AS_GUN_1,Pattern.GunShot,1,0.3,0.20,0.20,1500,0,1,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,7,
AS_STAFF_1,Pattern.StaffProjectile,1,1.2,0.00,0.80,1000,0,1,0,200,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,武器体系W,8,
AS_MOON_STAFF_1,Pattern.MoonStaffWave,1,0.30,0.55,0.00,2500,0,1,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,RuntimeCompatibility,1,
AS_ELEMENTAL_ORB_1,Pattern.ElementalProjectile,1,0.70,0.00,0.75,240,0,1,0,0,0,false,Weapon.AttackStep,Weapon.PhysicalOrElementalCoefficient,None,true,RuntimeCompatibility,3,
