EventId,VariantId,AssetPath,Bus,EventType,Spatial3D,BaseVolume,PitchMin,PitchMax,CooldownSeconds,MaxConcurrency,Priority,PausePolicy,AttenuationMin,AttenuationMax,StartTimeSeconds
Music.Menu,,/Game/ReEcho/Audio/Music/Music_Menu.Music_Menu,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Encounter,,,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Encounter,Stage.1,/Game/ReEcho/Audio/Variants/MusicEncounter/Music_Encounter_Stage_1.Music_Encounter_Stage_1,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Encounter,Stage.2,/Game/ReEcho/Audio/Variants/MusicEncounter/Music_Encounter_Stage_2.Music_Encounter_Stage_2,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Encounter,Stage.3,/Game/ReEcho/Audio/Variants/MusicEncounter/Music_Encounter_Stage_3.Music_Encounter_Stage_3,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Boss,,/Game/ReEcho/Audio/Music/Music_Boss.Music_Boss,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Shop,,/Game/ReEcho/Audio/Music/Music_Shop.Music_Shop,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Death,,,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Music.Victory,,,Music,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Ambience.Arena,,,Ambience,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
Ambience.Rain,,,Ambience,Loop,false,1,1,1,0,1,10,ContinueOnPause,0,0,0
UI.Hover,,/Game/ReEcho/Audio/UI/UI_Hover.UI_Hover,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
UI.Confirm,,/Game/ReEcho/Audio/UI/UI_Confirm.UI_Confirm,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0.14
UI.Cancel,,/Game/ReEcho/Audio/UI/UI_Cancel.UI_Cancel,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
UI.Error,,/Game/ReEcho/Audio/UI/UI_Cancel.UI_Cancel,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,0
UI.Purchase,,/Game/ReEcho/Audio/UI/UI_Purchase.UI_Purchase,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,1.28
UI.CardSelect,,/Game/ReEcho/Audio/UI/UI_Purchase.UI_Purchase,UiSfx,OneShot,false,1,1,1,0.05,8,10,ContinueOnPause,0,0,1.28
Combat.Attack,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Attack,W_J_01,/Game/ReEcho/Audio/Variants/CombatAttack/Combat_Attack_W_J_01.Combat_Attack_W_J_01,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Attack,W_J_04,/Game/ReEcho/Audio/Variants/CombatAttack/Combat_Attack_W_J_04.Combat_Attack_W_J_04,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Attack,W_J_08,/Game/ReEcho/Audio/Variants/CombatAttack/Combat_Attack_W_J_08.Combat_Attack_W_J_08,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Attack,W_J_09,/Game/ReEcho/Audio/Variants/CombatAttack/Combat_Attack_W_J_09.Combat_Attack_W_J_09,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
Combat.Hit,,,CombatSfx,OneShot,true,1,0.95,1.05,0.05,8,20,PauseWithGame,200,2000,0
