Id,SourceWorkbookId,Tier,DisplayName,Description,Tags,PromotionRoleId,OfferGroup,Enabled,Offerable,StackPolicy,ConflictPolicy,ReviewStatus,DisabledReason
G_1_01,G_1_01,1,速度强化,移动速度+10%,Base,Sage,Trait,true,true,Stackable,None,Approved,
G_1_02,G_1_02,1,生命强化,生命值与生命上限+8,Base,Brave,Trait,true,true,Stackable,None,Approved,
G_1_03,G_1_03,1,物理强化,物理攻击力+4,Base,Hunter,Trait,true,true,Stackable,None,Approved,
G_1_04,G_1_04,1,元素强化,元素攻击力+4,Base,Poet,Trait,true,true,Stackable,None,Approved,
G_1_05,G_1_05,1,暴击专家,暴击率与暴击效果+25%,Base,Hunter,Trait,true,true,Stackable,None,Approved,
G_1_06,G_1_06,1,元素专家,元素反应效能+25%,Base,Poet,Trait,true,true,Stackable,None,Approved,
G_1_07,G_1_07,1,回响强化,回响效能+10%,Base,Sage,Trait,true,true,Stackable,None,Approved,
G_1_08,G_1_08,1,命运跃迁I,随机获得1张2级卡牌,Base,Sage,Trait,true,true,Stackable,None,Approved,
G_2_04,G_2_04,2,孤注一掷,你的元素攻击力和物理攻击力，随机1项降低30%，另外1项+60%,Gamble,Sage,Trait,true,true,Stackable,None,Approved,
G_2_05,G_2_05,2,猎杀淬炼,你获得永久物理攻击力，数值基于你与回响下一关击杀的怪物数量/5,Critical|Echo|Body,Hunter,Trait,true,true,Stackable,None,Approved,
G_2_06,G_2_06,2,元素虹吸,你获得永久元素攻击力，数值基于你与回响下一关所触发的元素反应总数/4,Element|Echo|Body,Poet,Trait,true,true,Stackable,None,Approved,
G_2_07,G_2_07,2,潮汐回响,回响每2秒为身边4m范围内的敌人附着水元素,Echo|Element,Poet,Trait,true,true,Stackable,None,Approved,
G_2_08,G_2_08,2,森林回响,回响每2秒为身边4m范围内的敌人附着草元素,Echo|Element,Poet,Trait,true,true,Stackable,None,Approved,
G_2_09,G_2_09,2,拒斥立场,回响周围4m的敌人会被【减速】30%,Echo,Sage,Trait,true,true,Stackable,None,Approved,
G_2_10,G_2_10,2,命运跃迁II,随机获得1张3级卡牌,Gamble,Sage,Trait,true,true,Stackable,None,Approved,
G_2_12,G_2_12,2,元素暴击,当敌方单位被附着任意元素时，你或回响对其造成的暴击效果+100%,Element|Critical,Hunter,Trait,true,true,Stackable,None,Approved,
G_2_13,G_2_13,2,万象回春,每当你触发元素反应，回复2生命值。冷却1.5秒,Element|Survival,Poet,Trait,true,true,Stackable,None,Approved,
G_2_14,G_2_14,2,替身余响,你每一关承受的前3次伤害无效；当你受到第4次伤害时，本关回响消失,Echo|Survival,Brave,Trait,true,true,Stackable,None,Approved,
G_2_15,G_2_15,2,时砂豪赌,立即失去你的所有时间碎片。下一关，敌方单位将额外掉落1.5倍时间碎片,Economy,Sage,Trait,true,true,Stackable,None,Approved,
