Id,EncounterId,WaveIndex,TriggerSeconds,MeleeCount,RangedCount,EliteCount,BossEnemyId,Enabled,SourceSheet,SourceRow,Notes
Encounter.1.Wave.1,Encounter.1,1,0,10,6,0,,true,企微怪物表,1,第一关整关不刷精英
Encounter.1.Wave.2,Encounter.1,2,10,7,6,0,,true,企微怪物表,1,第一关整关不刷精英
Encounter.1.Wave.3,Encounter.1,3,20,10,6,0,,true,企微怪物表,1,第一关整关不刷精英
Encounter.2.Wave.1,Encounter.2,1,0,10,8,0,,true,企微怪物表,2,第一关整关不刷精英
Encounter.2.Wave.2,Encounter.2,2,10,7,6,0,,true,企微怪物表,2,第一关整关不刷精英
Encounter.2.Wave.3,Encounter.2,3,20,12,8,0,,true,企微怪物表,2,第一关整关不刷精英
Encounter.3.Wave.1,Encounter.3,1,0,24,16,8,,true,企微怪物表,3,企微《怪物》投放成长表
Encounter.3.Wave.2,Encounter.3,2,10,24,12,10,,true,企微怪物表,3,企微《怪物》投放成长表
Encounter.3.Wave.3,Encounter.3,3,20,24,18,8,,true,企微怪物表,3,企微《怪物》投放成长表
Encounter.4.Wave.1,Encounter.4,1,0,28,16,8,,true,企微怪物表,4,企微《怪物》投放成长表
Encounter.4.Wave.2,Encounter.4,2,10,18,16,10,,true,企微怪物表,4,企微《怪物》投放成长表
Encounter.4.Wave.3,Encounter.4,3,20,36,22,8,,true,企微怪物表,4,企微《怪物》投放成长表
Encounter.5.Wave.1,Encounter.5,1,0,32,18,8,,true,企微怪物表,5,企微《怪物》投放成长表
Encounter.5.Wave.2,Encounter.5,2,10,24,16,10,,true,企微怪物表,5,企微《怪物》投放成长表
Encounter.5.Wave.3,Encounter.5,3,20,40,22,8,,true,企微怪物表,5,企微《怪物》投放成长表
Encounter.6.Wave.1,Encounter.6,1,0,36,16,10,,true,企微怪物表,6,企微《怪物》投放成长表
Encounter.6.Wave.2,Encounter.6,2,10,30,18,14,,true,企微怪物表,6,企微《怪物》投放成长表
Encounter.6.Wave.3,Encounter.6,3,20,44,18,14,,true,企微怪物表,6,企微《怪物》投放成长表
Encounter.7.Wave.1,Encounter.7,1,0,40,22,14,,true,企微怪物表,7,企微《怪物》投放成长表
Encounter.7.Wave.2,Encounter.7,2,10,30,18,16,,true,企微怪物表,7,企微《怪物》投放成长表
Encounter.7.Wave.3,Encounter.7,3,20,40,26,16,,true,企微怪物表,7,企微《怪物》投放成长表
Encounter.8.Wave.1,Encounter.8,1,0,32,16,10,M_SHEEP,true,企微怪物表,8,Boss在0秒刷新；16近战/8远程/5精英援军
Encounter.8.Wave.2,Encounter.8,2,10,20,18,14,,true,企微怪物表,8,Boss关增援波
Encounter.8.Wave.3,Encounter.8,3,20,36,22,14,,true,企微怪物表,8,Boss关增援波
