Id,OwnerEnemyId,BehaviorId,SequenceOrder,Enabled,Damage,WindupSeconds,ActiveSeconds,RecoverySeconds,CooldownSeconds,MinRangeCm,MaxRangeCm,RadiusCm,WidthCm,LengthCm,ProjectileSpeedCmPerSecond,TeleportOffsetCm,TargetingMode,LockTiming,CleanseIntervalSeconds,ImmunitySeconds,SourceSheet,SourceRow,Notes
M_TimeGuard_MeleeSweep,M_TimeGuard,Boss.MeleeSweep,1,true,18,0.65,0.12,0.75,2.8,0,260,0,220,260,0,0,LockedDirection,WindupStart,0,0,Boss技能,4,近身扇形挥击
M_TimeGuard_Projectile,M_TimeGuard,Boss.Projectile,2,true,0,0.6,0,0.55,3.5,300,1100,55,0,0,700,0,LockedLocation,WindupEnd,0,0,Boss技能,5,不追踪远程投射
M_TimeGuard_BlinkSlam,M_TimeGuard,Boss.BlinkSlam,3,true,0,0.9,0.35,0.9,7,0,1100,180,0,0,0,180,LockedLocation,WindupStart,0,0,Boss技能,6,消失后在锁定落点外闪现砸地
M_TimeGuard_PrayerBeam,M_TimeGuard,Boss.PrayerBeam,4,true,0,1.2,0.15,1,9,0,1200,0,160,1200,0,0,LockedDirection,WindupEnd,0,0,Boss技能,7,锁定方向长直线光束
M_TimeGuard_ElementCleanse,M_TimeGuard,Boss.ElementCleanse,0,true,0,0,0,0,0,0,0,0,0,0,0,0,Self,Interval,9,1,Boss技能,8,定时清除元素并获得短暂免疫
M_RABBIT_RangedBurst,M_RABBIT,Enemy.RangedBurst,1,true,1,0.55,0.1,0,2,0,1000,150,0,0,0,0,LockedLocation,WindupStart,0,0,怪物配置表,5,锁定落点；半径1.5m；每技能冷却2s
M_FOX_Dash,M_FOX,Enemy.EliteDash,1,true,18,0.8,0.15,0.9,4,0,450,0,140,450,0,0,LockedDirection,WindupStart,0,0,怪物配置表,6,预警0.8s；长4.5m宽1.4m；冷却4s
M_SHEEP_MeleeSweep,M_SHEEP,Boss.MeleeSweep,1,true,18,0.65,0.12,0.75,2.8,0,260,0,220,260,0,0,LockedDirection,WindupStart,0,0,Boss,4,
M_SHEEP_Projectile,M_SHEEP,Boss.Projectile,2,true,0,0.6,0,0.55,3.5,300,1100,55,0,0,700,0,LockedLocation,WindupEnd,0,0,Boss,5,
M_SHEEP_BlinkSlam,M_SHEEP,Boss.BlinkSlam,3,true,0,0.9,0.35,0.9,7,0,1100,180,0,0,0,180,LockedLocation,WindupStart,0,0,Boss,6,
M_SHEEP_PrayerBeam,M_SHEEP,Boss.PrayerBeam,4,true,0,1.2,0.15,1,9,0,1200,0,160,1200,0,0,LockedDirection,WindupEnd,0,0,Boss,7,
M_SHEEP_ElementCleanse,M_SHEEP,Boss.ElementCleanse,0,true,0,0,0,0,0,0,0,0,0,0,0,0,Self,Interval,9,1,Boss,8,
