Id,EnemyId,CombatIndex,MaxHealth,ContactDamage,AttackIntervalSeconds
M_SLIME_C1,M_SLIME,1,14,2,1.3
M_SLIME_C2,M_SLIME,2,16,2,1.3
M_SLIME_C3,M_SLIME,3,21,2,1.3
M_SLIME_C4,M_SLIME,4,25,3,1.2
M_SLIME_C5,M_SLIME,5,30,3,1.2
M_SLIME_C6,M_SLIME,6,37,4,1.1
M_SLIME_C7,M_SLIME,7,45,4,1.1
M_SLIME_C8,M_SLIME,8,56,4,1.1
M_RABBIT_C1,M_RABBIT,1,10,1,2
M_RABBIT_C2,M_RABBIT,2,12,1,1.9
M_RABBIT_C3,M_RABBIT,3,15,1,1.9
M_RABBIT_C4,M_RABBIT,4,18,1,1.8
M_RABBIT_C5,M_RABBIT,5,22,2,1.8
M_RABBIT_C6,M_RABBIT,6,27,2,1.7
M_RABBIT_C7,M_RABBIT,7,32,2,1.7
M_RABBIT_C8,M_RABBIT,8,40,2,1.6
M_FOX_C1,M_FOX,1,28,3,4
M_FOX_C2,M_FOX,2,32,3,3.7
M_FOX_C3,M_FOX,3,40,4,3.7
M_FOX_C4,M_FOX,4,48,4,3.4
M_FOX_C5,M_FOX,5,59,5,3.4
M_FOX_C6,M_FOX,6,73,5,3.1
M_FOX_C7,M_FOX,7,88,6,3.1
M_FOX_C8,M_FOX,8,110,6,2.8
