Id,PartId,Order,Trigger,EffectKind,Target,ValueOp,Value,BehaviorId,FormulaId,AttackPatternId,ParamName,ParamValue,DurationSeconds,CooldownSeconds,StackPolicy,Enabled,DisabledReason,SourceSheet,SourceRow
PE_CORE_PRIMORDIAL_CHANNEL,P_CORE_PRIMORDIAL,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,Physical,0,0,0,Unique,true,,武器插槽C,2
PE_CORE_TIDE_CHANNEL,P_CORE_TIDE,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,Water,0,0,0,Unique,true,,武器插槽C,3
PE_CORE_FOREST_CHANNEL,P_CORE_FOREST,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,Grass,0,0,0,Unique,true,,武器插槽C,4
PE_CORE_FLAME_CHANNEL,P_CORE_FLAME,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,Flame,0,0,0,Unique,true,,武器插槽C,5
PE_CORE_THUNDER_CHANNEL,P_CORE_THUNDER,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,Lightning,0,0,0,Unique,true,,武器插槽C,6
PE_CORE_PRISM_CHANNEL,P_CORE_PRISM,1,OnEquip,WeaponDamageChannel,DamageChannel,Override,0,Part.CoreDamageChannel,None,None,RandomElement,0,0,0,Unique,true,,武器插槽C,7
PE_BOW_HASTE_BOWSTRING_1,P_BOW_HASTE_BOWSTRING,1,OnEquip,StatModifier,AttackSpeed,Add,0.6,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,22
PE_BOW_HASTE_BOWSTRING_2,P_BOW_HASTE_BOWSTRING,2,OnEquip,StatModifier,DamageCoefficient,Multiply,0.6,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,22
PE_BOW_HEAVY_BOWSTRING_1,P_BOW_HEAVY_BOWSTRING,1,OnEquip,StatModifier,AttackSpeed,Add,-0.3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,23
PE_BOW_HEAVY_BOWSTRING_2,P_BOW_HEAVY_BOWSTRING,2,OnEquip,StatModifier,DamageCoefficient,Multiply,1.5,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,23
PE_SCYTHE_HASTE_ROTARYBLADE_1,P_SCYTHE_HASTE_ROTARYBLADE,1,OnEquip,StatModifier,AttackSpeed,Add,0.4,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,28
PE_SCYTHE_HASTE_ROTARYBLADE_2,P_SCYTHE_HASTE_ROTARYBLADE,2,OnEquip,StatModifier,AttackRange,Multiply,0.8,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,28
PE_LONGSWORD_NARROWWIDE_SWORDBLADE_1,P_LONGSWORD_NARROWWIDE_SWORDBLADE,1,OnEquip,StatModifier,AttackArc,Override,120,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,36
PE_LONGSWORD_NARROWWIDE_SWORDBLADE_2,P_LONGSWORD_NARROWWIDE_SWORDBLADE,2,OnEquip,StatModifier,AttackRange,Multiply,1.3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,36
PE_LONGSWORD_SLOWWIDE_SWORDBLADE_1,P_LONGSWORD_SLOWWIDE_SWORDBLADE,1,OnEquip,StatModifier,AttackSpeed,Add,-0.2,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,37
PE_LONGSWORD_SLOWWIDE_SWORDBLADE_2,P_LONGSWORD_SLOWWIDE_SWORDBLADE,2,OnEquip,StatModifier,AttackRange,Multiply,1.3,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,37
PE_LONGSWORD_KILLHEAL_SWORDBLADE_1,P_LONGSWORD_KILLHEAL_SWORDBLADE,1,OnKill,UniqueBehavior,OnKill,Add,0.05,Part.OnKillHealPercent,None,None,HealMaxHpPercent,0.05,0,0,Unique,true,,武器插槽C,39
PE_LONGSWORD_HASTE_GRIP_1,P_LONGSWORD_HASTE_GRIP,1,OnEquip,StatModifier,AttackSpeed,Add,0.2,Part.StatModifier,None,None,None,0,0,0,Unique,true,,武器插槽C,43
