FromPartId,NeedCount,ToPartId
P_BOW_SPLIT_ARROWHEAD_I,2,P_BOW_SPLIT_ARROWHEAD_II
P_BOW_SPLIT_ARROWHEAD_II,2,P_BOW_SPLIT_ARROWHEAD_III
P_BOW_EXPLOSIVE_ARROWHEAD_I,2,P_BOW_EXPLOSIVE_ARROWHEAD_II
P_BOW_EXPLOSIVE_ARROWHEAD_II,2,P_BOW_EXPLOSIVE_ARROWHEAD_III
P_BOW_MULTISHOT_ARROWHEAD_I,2,P_BOW_MULTISHOT_ARROWHEAD_II
P_BOW_MULTISHOT_ARROWHEAD_II,2,P_BOW_MULTISHOT_ARROWHEAD_III
P_BOW_KILLSHARD_ARROWHEAD_I,2,P_BOW_KILLSHARD_ARROWHEAD_II
P_BOW_KILLSHARD_ARROWHEAD_II,2,P_BOW_KILLSHARD_ARROWHEAD_III
P_BOW_HASTE_BOWSTRING_I,2,P_BOW_HASTE_BOWSTRING_II
P_BOW_HASTE_BOWSTRING_II,2,P_BOW_HASTE_BOWSTRING_III
P_BOW_HEAVY_BOWSTRING_I,2,P_BOW_HEAVY_BOWSTRING_II
P_BOW_HEAVY_BOWSTRING_II,2,P_BOW_HEAVY_BOWSTRING_III
P_BOW_KILLHASTE_BOWSTRING_I,2,P_BOW_KILLHASTE_BOWSTRING_II
P_BOW_KILLHASTE_BOWSTRING_II,2,P_BOW_KILLHASTE_BOWSTRING_III
P_BOW_COMBOHASTE_BOWSTRING_I,2,P_BOW_COMBOHASTE_BOWSTRING_II
P_BOW_COMBOHASTE_BOWSTRING_II,2,P_BOW_COMBOHASTE_BOWSTRING_III
P_SCYTHE_GROUPGROWTH_ROTARYBLADE_I,2,P_SCYTHE_GROUPGROWTH_ROTARYBLADE_II
P_SCYTHE_GROUPGROWTH_ROTARYBLADE_II,2,P_SCYTHE_GROUPGROWTH_ROTARYBLADE_III
P_SCYTHE_LIFESTEAL_ROTARYBLADE_I,2,P_SCYTHE_LIFESTEAL_ROTARYBLADE_II
P_SCYTHE_LIFESTEAL_ROTARYBLADE_II,2,P_SCYTHE_LIFESTEAL_ROTARYBLADE_III
P_SCYTHE_STUN_ROTARYBLADE_I,2,P_SCYTHE_STUN_ROTARYBLADE_II
P_SCYTHE_STUN_ROTARYBLADE_II,2,P_SCYTHE_STUN_ROTARYBLADE_III
P_SCYTHE_OUTERRING_ROTARYBLADE_I,2,P_SCYTHE_OUTERRING_ROTARYBLADE_II
