SourceSequence,SourceDisplayName,SourceCardId,GameCardId,SourceFile,RuntimeAsset
01,数字挑战,G_2_14,G_2_18,01_数字挑战.png,T_UI_CardIcon_G_2_18
02,诅咒银行,G_2_15,G_2_19,02_诅咒银行.png,T_UI_CardIcon_G_2_19
03,德古拉第I课,G_2_16,G_2_20,03_德古拉第I课.png,T_UI_CardIcon_G_2_20
04,喂，打劫！,G_2_17,G_2_21,04_喂，打劫.png,T_UI_CardIcon_G_2_21
05,重启任务,G_2_18,G_2_22,05_重启任务.png,T_UI_CardIcon_G_2_22
06,孤注二掷,G_2_19,G_2_23,06_孤注二掷.png,T_UI_CardIcon_G_2_23
07,我来组成头部,G_2_20,G_2_24,07_我来组成头部.png,T_UI_CardIcon_G_2_24
08,我来组成身体,G_2_21,G_2_25,08_我来组成身体.png,T_UI_CardIcon_G_2_25
09,我来组成腿部,G_2_22,G_2_26,09_我来组成腿部.png,T_UI_CardIcon_G_2_26
10,损人利己,G_2_23,G_2_27,10_损人利己.png,T_UI_CardIcon_G_2_27
11,就要那个！,G_2_24,G_2_28,11_就要那个.png,T_UI_CardIcon_G_2_28
12,自我赛跑,G_2_25,G_2_29,12_自我赛跑.png,T_UI_CardIcon_G_2_29
13,连接，连接！,G_2_26,G_2_30,13_连接，连接.png,T_UI_CardIcon_G_2_30
14,烈火之心,G_2_27,G_2_31,14_烈火之心.png,T_UI_CardIcon_G_2_31
15,水火不容,G_2_28,G_2_32,15_水火不容.png,T_UI_CardIcon_G_2_32
16,雷鸣之心,G_2_29,G_2_33,16_雷鸣之心.png,T_UI_CardIcon_G_2_33
17,生命虹吸,G_2_30,G_2_34,17_生命虹吸.png,T_UI_CardIcon_G_2_34
18,史莱姆杀手,G_2_31,G_2_35,18_史莱姆杀手.png,T_UI_CardIcon_G_2_35
19,兔兔杀手,G_2_32,G_2_36,19_兔兔杀手.png,T_UI_CardIcon_G_2_36
