RelativePath,Category,Width,Height,Bytes,Sha256,RuntimeName
References/1-战斗场景.png,Reference,1920,1080,1490917,6D3F854BD0B689D3453D76F92F137799F14099DF862676D6E43004D754F2F3F2,
Elements/爱心.png,Element,68,68,4308,5712207F2DC0EA88F545BBD04423C581DDF454EA19DAD2BFFC8881315D857CE1,T_UI_CombatHud_HealthIcon
Elements/回响显示框.png,Element,360,322,49026,C98D4FEC5D779096132E49AF8B1389369304D40DEFA8C651C6DCD06EDB6F2AE1,T_UI_CombatHud_EchoFrame
Elements/技能栏.png,RejectedElement,1801,265,68483,C6FC1DC819E0062A4D95AA7F7657AA391CB144B80A22E413054F54995DEDDD3D,
Elements/时间底板.png,Element,1159,216,122459,4B42DCBB79B1223BDCAEDA40BB2D8EE14DAF6BC84E0EA6049C072B7D1F896E66,T_UI_CombatHud_ClockFrame
Elements/时间碎片.png,Element,68,70,4848,CA5A13D2154197398F80C3720467D75146FBCD05CFA2E000ADBFA5AFD5C2E95E,T_UI_CombatHud_TimeShardIcon
Elements/时间显示.png,RejectedElement,161,45,267,268111527878DC01FB7CABFEC9DB60181D1F1D9E78A7A07E952B9E9E947393A1,
Elements/时间指针.png,Element,44,150,7335,E1629A18E8299ABACE68A1106035943A80A68E93BB13DF8CEE09A672956187E7,T_UI_CombatHud_ClockNeedle
Elements/血条.png,Element,232,29,1244,5FC7E7DF47CF5E1EA95A0EDB0AE18B7F54DC0CD468D2082FF256A180B19CA2D8,T_UI_CombatHud_HealthFill
Elements/血条底板.png,Element,232,29,1340,1A924452B707E4196B913BDF7AA5D8893F0C3AABBCF8EEC058F64E23DFBE2091,T_UI_CombatHud_HealthFrame
