PartId,WorkbookName,SourceFile,MappingKind
P_CORE_PRIMORDIAL,原初之晶,武器配件icon/水晶/原初之晶.png,exact
P_CORE_TIDE,潮汐之晶,武器配件icon/水晶/潮汐之晶.png,exact
P_CORE_FOREST,森林之晶,武器配件icon/水晶/森林之晶.png,exact
P_CORE_FLAME,焚绝之晶,武器配件icon/水晶/焚绝之晶.png,exact
P_CORE_THUNDER,鸣雷之晶,武器配件icon/水晶/鸣雷之晶.png,exact
P_CORE_PRISM,棱镜之晶,武器配件icon/水晶/棱镜之晶.png,exact
P_BOW_SPLIT_ARROWHEAD,分裂箭头,武器配件icon/弓箭/分裂箭头.png,exact
P_BOW_EXPLOSIVE_ARROWHEAD,爆炸箭头,武器配件icon/弓箭/爆炸箭头.png,exact
P_BOW_PIERCING_ARROWHEAD,暴击穿透箭头,武器配件icon/弓箭/暴击穿透箭头.png,exact
P_BOW_CRITBLEED_ARROWHEAD,暴击流血箭头,武器配件icon/弓箭/暴击流血箭头.png,exact
P_BOW_MULTISHOT_ARROWHEAD,三连箭头,武器配件icon/弓箭/三连箭头.png,exact
P_BOW_KILLSHARD_ARROWHEAD,碎片掉落箭头,武器配件icon/弓箭/碎片掉落箭头.png,exact
P_BOW_HASTE_BOWSTRING,攻速弓弦,武器配件icon/弓箭/攻速弓弦.png,exact
P_BOW_HEAVY_BOWSTRING,重击弓弦,武器配件icon/弓箭/重击弓弦.png,exact
P_BOW_KILLHASTE_BOWSTRING,击杀移速弓弦,武器配件icon/弓箭/击杀移速弓弦.png,exact
P_BOW_COMBOHASTE_BOWSTRING,连击双速弓弦,武器配件icon/弓箭/连击双速弓弦.png,exact
P_SCYTHE_GROUPGROWTH_ROTARYBLADE,群攻成长旋刃,武器配件icon/镰刀/群攻成长旋刃.png,exact
P_SCYTHE_LIFESTEAL_ROTARYBLADE,命中吸血旋刃,武器配件icon/镰刀/命中吸血旋刃.png,exact
P_SCYTHE_HASTE_ROTARYBLADE,攻速减范围旋刃,武器配件icon/镰刀/攻速减范围旋刃.png,exact
P_SCYTHE_STUN_ROTARYBLADE,晕眩旋刃,武器配件icon/镰刀/晕眩旋刃.png,exact
P_SCYTHE_BLEED_ROTARYBLADE,流血旋刃,武器配件icon/镰刀/流血旋刃.png,exact
P_SCYTHE_OUTERRING_ROTARYBLADE,外圈增伤旋刃,武器配件icon/镰刀/外圈增伤旋刃.png,exact
P_SCYTHE_MOVESTACK_GRIP,镰刃命中移速握柄,武器配件icon/镰刀/镰刃命中移速握柄.png,exact
P_SCYTHE_GROUPINVULN_GRIP,群攻无敌握柄,武器配件icon/镰刀/群攻无敌握柄.png,exact
P_SCYTHE_ATTACKSTACK_GRIP,镰刃命中攻速握柄,武器配件icon/镰刀/镰刃命中攻速握柄.png,exact
P_SCYTHE_THROWRECALL_GRIP,投掷召回链,武器配件icon/镰刀/投掷召回链.png,exact
P_LONGSWORD_NARROWWIDE_SWORDBLADE,窄角广域剑刃,武器配件icon/剑/窄角广域剑刃.png,exact
P_LONGSWORD_SLOWWIDE_SWORDBLADE,减攻速广域剑刃,武器配件icon/剑/减攻速广域剑刃.png,exact
P_LONGSWORD_GROUPGROWTH_SWORDBLADE,群攻成长剑刃,武器配件icon/剑/群攻成长剑刃.png,exact
P_LONGSWORD_KILLHEAL_SWORDBLADE,击杀吸血剑刃,武器配件icon/剑/击杀吸血剑刃.png,exact
P_LONGSWORD_HITSHARD_SWORDBLADE,命中碎片剑刃,武器配件icon/剑/命中碎片剑刃.png,exact
P_LONGSWORD_CRITBLEED_SWORDBLADE,暴击流血剑刃,武器配件icon/剑/暴击流血剑刃.png,exact
P_LONGSWORD_METEOR_SWORDBLADE,群攻陨星剑刃,武器配件icon/剑/群攻陨星剑刃.png,exact
P_LONGSWORD_HASTE_GRIP,攻速剑柄,武器配件icon/剑/攻速剑柄.png,exact
P_LONGSWORD_MOVESTACK_GRIP,命中移速剑柄,武器配件icon/剑/命中移速剑柄.png,exact
P_LONGSWORD_ATTACKSTACK_GRIP,命中攻速剑柄,武器配件icon/剑/命中攻速剑柄.png,exact
P_LONGSWORD_STUN_GRIP,晕眩剑柄,武器配件icon/剑/晕眩剑柄.png,exact
P_LONGSWORD_HEAVY_GRIP,重击剑柄,武器配件icon/剑/重击剑柄.png,exact
P_GUN_TRIPLESPREAD_MUZZLE,三发散射枪口,武器配件icon/枪/三发散射枪口.png,exact
P_GUN_CHARGED_MUZZLE,极限蓄能枪口,武器配件icon/枪/极限蓄能枪口.png,exact
P_GUN_RAPID_MUZZLE,连发枪口,武器配件icon/枪/连发枪口.png,exact
P_GUN_EXPLOSIVE_MUZZLE,爆炸枪口,武器配件icon/枪/爆炸枪口.png,exact
P_GUN_PIERCING_MUZZLE,暴击穿透枪口,武器配件icon/枪/暴击穿透枪口.png,exact
P_GUN_BLEED_MUZZLE,命中流血枪口,武器配件icon/枪/命中流血枪口.png,exact
P_GUN_LIFESTEAL_GUNACTION,命中吸血枪机,武器配件icon/枪/命中吸血枪机.png,exact
P_GUN_HITSHARD_GUNACTION,命中碎片枪机,武器配件icon/枪/命中碎片枪机.png,exact
P_GUN_ATTACKSTACK_GUNACTION,连射攻速枪机,武器配件icon/枪/连射攻速枪机.png,exact
P_GUN_MOVESTACK_GUNACTION,连射移速枪机,武器配件icon/枪/连射移速枪机.png,exact
